,by,descendants,id,kids,score,time,title,type,url,text
0,rawgabbit,60.0,42169615,"[42169771, 42169929, 42170216, 42169874, 42169873, 42169922, 42170181, 42170016, 42170165, 42170006, 42169933]",73,1731902533,How Japanese Black Companies Oppress Workers and Ruin Lives[2014],story,https://www.tofugu.com/japan/japanese-black-companies/,
1,moonsword,55.0,42167633,"[42169525, 42168612, 42168908, 42168620, 42168478, 42169606, 42169590, 42168350, 42169549, 42168325, 42168987, 42168505]",253,1731880226,Reverse Engineering iOS 18 Inactivity Reboot,story,https://naehrdine.blogspot.com/2024/11/reverse-engineering-ios-18-inactivity.html,
2,elsewhen,208.0,42107078,"[42168789, 42168641, 42166510, 42166263, 42166094, 42166561, 42168938, 42166567, 42168270, 42166483, 42169744, 42169734, 42166074, 42166328, 42167470, 42168053, 42166162, 42168825, 42168032, 42167306, 42166876, 42107119]",374,1731332919,Voyager 1 Breaks Its Silence with NASA via Radio Transmitter Not Used Since 1981,story,https://www.smithsonianmag.com/smart-news/voyager-1-breaks-its-silence-with-nasa-via-a-radio-transmitter-not-used-since-1981-180985399/,
3,ilove_banh_mi,24.0,42168997,"[42169811, 42170020, 42170007, 42169682, 42170076, 42169683, 42169691, 42169749, 42170018, 42170104, 42169881]",45,1731894161,It's Time to Replace TCP in the Datacenter,story,https://arxiv.org/abs/2210.00714,
4,D4Ha,22.0,42165862,"[42168742, 42168038, 42165928, 42169523, 42167116, 42168726, 42168005, 42169726, 42167696, 42170220, 42168146]",178,1731867997,Creating a QR Code step by step,story,https://www.nayuki.io/page/creating-a-qr-code-step-by-step,
5,rishicomplex,83.0,42165397,"[42167962, 42167915, 42165935, 42166006, 42166395, 42165398, 42165921, 42166977]",173,1731864045,AlphaProof's Greatest Hits,story,https://rishimehta.xyz/2024/11/17/alphaproofs-greatest-hits.html,
6,yeatsy,38.0,42168491,"[42169684, 42170195, 42168492, 42170091, 42169845, 42168911, 42168772, 42169848, 42169313, 42169618, 42168959, 42169403]",91,1731888475,"Show HN: The App I Built to Help Manage My Diabetes, Powered by GPT-4o-Mini",story,https://apps.apple.com/gb/app/islet-diabetes/id6453168642,
7,kurinikku,194.0,42164541,"[42168787, 42164919, 42168021, 42165013, 42164934, 42165910, 42168222, 42166833, 42166709, 42164737, 42165063, 42165469, 42166440, 42165248, 42167571, 42167374, 42165015, 42165819, 42166199, 42168769, 42165757, 42169344, 42165021, 42164921, 42164857, 42167888, 42166381, 42164777, 42167942, 42165532, 42165460]",330,1731856030,Everything Is Just Functions: Insights from SICP and David Beazley,story,https://ezzeriesa.notion.site/1-week-with-David-Beazley-and-SICP-4c440389cf1e43f48fe67c969967f655#58ee6b0435b24e26bd624b33ffed94df,
8,Philpax,9.0,42166948,"[42169136, 42169762, 42169009, 42170229, 42169348, 42169717]",76,1731875486,You could have designed state of the art positional encoding,story,https://fleetwood.dev/posts/you-could-have-designed-SOTA-positional-encoding,
9,nitinreddy88,4.0,42169418,[42170111],42,1731899564,Linux kernel 6.12 has been released,story,https://lwn.net/Articles/997958/,
10,lispybanana,5.0,42121702,"[42170068, 42170054, 42122436, 42122421, 42170160]",14,1731458634,Immorality Begins at 40 (2016),story,https://www.ribbonfarm.com/2016/04/28/immortality-begins-at-forty/,
11,gnabgib,5.0,42128831,"[42170122, 42169320]",44,1731524392,Mapping the Ionosphere with Phones,story,https://www.nature.com/articles/s41586-024-08072-x,
12,billybuckwheat,73.0,42169027,"[42169391, 42170042, 42170236, 42169670, 42169331, 42169056, 42169195, 42169334, 42170002, 42169579, 42169585, 42169341, 42169960, 42169319, 42169672, 42169499, 42169576]",104,1731894593,1 in 5 Japanese Workers in Their 20s Turn to Resignation Agencies,story,https://metropolisjapan.com/resignation-agencies/,
13,aabhay,12.0,42162368,"[42169306, 42169757, 42169745, 42169264, 42168734]",79,1731824753,Contain – CSS Cascading Style Sheets – MDN,story,https://developer.mozilla.org/en-US/docs/Web/CSS/contain,
14,passwordoops,12.0,42145919,"[42169656, 42169613, 42169578, 42146034, 42145920, 42169790, 42146046]",18,1731669892,Scientists discover laser light can cast a shadow,story,https://phys.org/news/2024-11-scientists-laser-shadow.html,
15,lapnect,44.0,42163591,"[42165175, 42165001, 42165466, 42164219, 42165080, 42164238, 42165148, 42164667, 42166323, 42165607, 42165134, 42167295, 42165648]",162,1731843465,"Garak, LLM Vulnerability Scanner",story,https://github.com/NVIDIA/garak,
